customerID,tenure_group,charge_tier,MonthlyCharges,TotalCharges,tenure,Contract,PaymentMethod,churn_label
7590-VHVEG,new,low,29.85,29.85,1,Month-to-month,Electronic check,0
5575-GNVDE,mid,medium,56.95,1889.5,34,One year,Mailed check,0
3668-QPYBK,new,medium,53.85,108.15,2,Month-to-month,Mailed check,1
7795-CFOCW,loyal,medium,42.3,1840.75,45,One year,Bank transfer (automatic),0
9237-HQITU,new,high,70.7,151.65,2,Month-to-month,Electronic check,1
9305-CDSKC,new,high,99.65,820.5,8,Month-to-month,Electronic check,1
1452-KIOVK,mid,high,89.1,1949.4,22,Month-to-month,Credit card (automatic),0
6713-OKOMC,new,low,29.75,301.9,10,Month-to-month,Mailed check,0
7892-POOKP,mid,high,104.8,3046.05,28,Month-to-month,Electronic check,1
6388-TABGU,loyal,medium,56.15,3487.95,62,One year,Bank transfer (automatic),0
9763-GRSKD,mid,medium,49.95,587.45,13,Month-to-month,Mailed check,0
7469-LKBCI,mid,low,18.95,326.8,16,Two year,Credit card (automatic),0
8091-TTVAX,loyal,high,100.35,5681.1,58,One year,Credit card (automatic),0
0280-XJGEX,loyal,high,103.7,5036.3,49,Month-to-month,Bank transfer (automatic),1
5129-JLPIS,mid,high,105.5,2686.05,25,Month-to-month,Electronic check,0
3655-SNQYZ,loyal,high,113.25,7895.15,69,Two year,Credit card (automatic),0
8191-XWSZG,loyal,low,20.65,1022.95,52,One year,Mailed check,0
9959-WOFKT,loyal,high,106.7,7382.25,71,Two year,Bank transfer (automatic),0
4190-MFLUW,new,medium,55.2,528.35,10,Month-to-month,Credit card (automatic),1
4183-MYFRB,mid,high,90.05,1862.9,21,Month-to-month,Electronic check,0
8779-QRDMV,new,medium,39.65,39.65,1,Month-to-month,Electronic check,1
1680-VDCWW,new,low,19.8,202.25,12,One year,Bank transfer (automatic),0
1066-JKSGK,new,low,20.15,20.15,1,Month-to-month,Mailed check,1
3638-WEABW,loyal,medium,59.9,3505.1,58,Two year,Credit card (automatic),0
6322-HRPFA,loyal,medium,59.6,2970.3,49,Month-to-month,Credit card (automatic),0
6865-JZNKO,mid,medium,55.3,1530.6,30,Month-to-month,Bank transfer (automatic),0
6467-CHFZW,loyal,high,99.35,4749.15,47,Month-to-month,Electronic check,1
8665-UTDHZ,new,low,30.2,30.2,1,Month-to-month,Electronic check,1
5248-YGIJN,loyal,high,90.25,6369.45,72,Two year,Credit card (automatic),0
8773-HHUOZ,mid,medium,64.7,1093.1,17,Month-to-month,Mailed check,1
3841-NFECX,loyal,high,96.35,6766.95,71,Two year,Credit card (automatic),0
4929-XIHVW,new,high,95.5,181.65,2,Month-to-month,Credit card (automatic),0
6827-IEAUQ,mid,high,66.15,1874.45,27,One year,Mailed check,0
7310-EGVHZ,new,low,20.2,20.2,1,Month-to-month,Bank transfer (automatic),0
3413-BMNZE,new,medium,45.25,45.25,1,Month-to-month,Bank transfer (automatic),0
6234-RAAPL,loyal,high,99.9,7251.7,72,Two year,Bank transfer (automatic),0
6047-YHPVI,new,high,69.7,316.9,5,Month-to-month,Electronic check,1
6572-ADKRS,loyal,high,74.8,3548.3,46,Month-to-month,Credit card (automatic),0
5380-WJKOV,mid,high,106.35,3549.25,34,Month-to-month,Electronic check,1
8168-UQWWF,new,high,97.85,1105.4,11,Month-to-month,Bank transfer (automatic),1
8865-TNMNX,new,medium,49.55,475.7,10,One year,Mailed check,0
9489-DEDVP,loyal,high,69.2,4872.35,70,Two year,Credit card (automatic),0
9867-JCZSP,mid,low,20.75,418.25,17,One year,Mailed check,0
4671-VJLCL,loyal,high,79.85,4861.45,63,Two year,Credit card (automatic),0
4080-IIARD,mid,high,76.2,981.45,13,Month-to-month,Electronic check,0
3714-NTNFO,loyal,high,84.5,3906.7,49,Month-to-month,Electronic check,0
5948-UJZLF,new,medium,49.25,97.0,2,Month-to-month,Mailed check,0
7760-OYPDY,new,high,80.65,144.15,2,Month-to-month,Electronic check,1
7639-LIAYI,loyal,high,79.75,4217.8,52,Two year,Credit card (automatic),0
2954-PIBKO,loyal,medium,64.15,4254.1,69,Two year,Credit card (automatic),0
8012-SOUDQ,loyal,high,90.25,3838.75,43,Month-to-month,Electronic check,0
9420-LOJKX,mid,high,99.1,1426.4,15,Month-to-month,Credit card (automatic),1
6575-SUVOI,mid,high,69.5,1752.65,25,Month-to-month,Credit card (automatic),0
7495-OOKFY,new,high,80.65,633.3,8,Month-to-month,Credit card (automatic),1
4667-QONEA,loyal,high,74.85,4456.35,60,One year,Credit card (automatic),0
1658-BYGOY,mid,high,95.45,1752.55,18,Month-to-month,Electronic check,1
8769-KKTPH,loyal,high,99.65,6311.2,63,One year,Credit card (automatic),0
5067-XJQFU,loyal,high,108.45,7076.35,66,One year,Electronic check,0
3957-SQXML,mid,low,24.95,894.3,34,Two year,Credit card (automatic),0
5954-BDFSG,loyal,high,107.5,7853.7,72,Two year,Credit card (automatic),0
0434-CSFON,loyal,high,100.5,4707.1,47,Month-to-month,Electronic check,0
1215-FIGMP,loyal,high,89.9,5450.7,60,Month-to-month,Bank transfer (automatic),0
0526-SXDJP,loyal,medium,42.1,2962.0,72,Two year,Bank transfer (automatic),0
0557-ASKVU,mid,medium,54.4,957.1,18,One year,Credit card (automatic),0
5698-BQJOH,new,high,94.4,857.25,9,Month-to-month,Electronic check,1
5122-CYFXA,new,high,75.3,244.1,3,Month-to-month,Electronic check,0
8627-ZYGSZ,loyal,high,78.9,3650.35,47,One year,Electronic check,0
3410-YOQBQ,mid,high,79.2,2497.2,31,Two year,Mailed check,0
3170-NMYVV,loyal,low,20.15,930.9,50,Two year,Bank transfer (automatic),0
7410-OIEDU,new,high,79.85,887.35,10,Month-to-month,Mailed check,0
2273-QCKXA,new,medium,49.05,49.05,1,Month-to-month,Mailed check,0
0731-EBJQB,loyal,low,20.4,1090.65,52,One year,Electronic check,0
1891-QRQSA,loyal,high,111.6,7099.0,64,Two year,Bank transfer (automatic),0
8028-PNXHQ,loyal,low,24.25,1424.6,62,Two year,Bank transfer (automatic),0
5630-AHZIL,new,medium,64.5,177.4,3,Month-to-month,Bank transfer (automatic),0
2673-CXQEU,loyal,high,110.5,6139.5,56,One year,Electronic check,0
6416-JNVRK,loyal,medium,55.65,2688.85,46,One year,Credit card (automatic),0
5590-ZSKRV,new,medium,54.65,482.25,8,Month-to-month,Mailed check,0
0191-ZHSKZ,mid,high,74.75,2111.3,30,Month-to-month,Electronic check,0
3887-PBQAO,loyal,low,25.9,1216.6,45,One year,Credit card (automatic),0
5919-TMRGD,new,high,79.35,79.35,1,Month-to-month,Electronic check,1
8108-UXRQN,new,medium,50.55,565.35,11,Month-to-month,Electronic check,0
9191-MYQKX,new,high,75.15,496.9,7,Month-to-month,Bank transfer (automatic),1
9919-YLNNG,loyal,high,103.8,4327.5,42,Month-to-month,Bank transfer (automatic),0
0318-ZOPWS,loyal,low,20.15,973.35,49,Two year,Bank transfer (automatic),0
4445-ZJNMU,new,high,99.3,918.75,9,Month-to-month,Credit card (automatic),0
4808-YNLEU,mid,medium,62.15,2215.45,35,One year,Bank transfer (automatic),0
1862-QRWPE,loyal,low,20.65,1057.0,48,Two year,Bank transfer (automatic),0
2796-NNUFI,loyal,low,19.95,927.1,46,Two year,Mailed check,0
3016-KSVCP,mid,low,33.75,1009.25,29,Month-to-month,Mailed check,0
4767-HZZHQ,mid,high,82.05,2570.2,30,Month-to-month,Bank transfer (automatic),0
2424-WVHPL,new,high,74.7,74.7,1,Month-to-month,Electronic check,0
7233-PAHHL,loyal,high,84.0,5714.25,66,Two year,Mailed check,0
6067-NGCEU,loyal,high,111.05,7107.0,65,Month-to-month,Credit card (automatic),0
9848-JQJTX,loyal,high,100.9,7459.05,72,Two year,Bank transfer (automatic),0
8637-XJIVR,new,high,78.95,927.35,12,Month-to-month,Electronic check,1
9803-FTJCG,loyal,high,66.85,4748.7,71,One year,Credit card (automatic),0
0278-YXOOG,new,low,21.05,113.85,5,Month-to-month,Mailed check,1
3212-KXOCR,loyal,low,21.0,1107.2,52,Two year,Bank transfer (automatic),0
4598-XLKNJ,mid,high,98.5,2514.5,25,Month-to-month,Electronic check,1
6380-ARCEH,new,low,20.2,20.2,1,Month-to-month,Mailed check,0
3679-XASPY,new,low,19.45,19.45,1,Month-to-month,Electronic check,0
7123-WQUHX,loyal,high,95.0,3605.6,38,One year,Bank transfer (automatic),0
5386-THSLQ,loyal,medium,45.55,3027.25,66,One year,Bank transfer (automatic),0
3192-NQECA,loyal,high,110.0,7611.85,68,Two year,Bank transfer (automatic),1
6180-YBIQI,new,low,24.3,100.2,5,Month-to-month,Mailed check,0
6728-DKUCO,loyal,high,104.15,7303.05,72,One year,Electronic check,0
9750-BOOHV,mid,low,30.15,927.65,32,One year,Mailed check,0
8597-CWYHH,loyal,high,94.35,3921.3,43,One year,Mailed check,0
2848-YXSMW,loyal,low,19.4,1363.25,72,Two year,Credit card (automatic),0
0486-HECZI,loyal,high,96.75,5238.9,55,Month-to-month,Electronic check,1
4549-ZDQYY,loyal,medium,57.95,3042.25,52,One year,Credit card (automatic),0
5712-AHQNN,loyal,high,91.65,3954.1,43,Month-to-month,Electronic check,0
4846-WHAFZ,loyal,high,76.5,2868.15,37,Month-to-month,Electronic check,1
5256-SKJGO,loyal,medium,54.6,3423.5,64,Two year,Electronic check,0
3071-VBYPO,new,high,89.85,248.4,3,Month-to-month,Electronic check,0
9560-BBZXK,mid,low,31.05,1126.35,36,Two year,Bank transfer (automatic),0
5299-RULOA,new,high,100.25,1064.65,10,Month-to-month,Electronic check,1
8402-OOOHJ,loyal,low,20.65,835.15,41,Two year,Mailed check,0
9445-ZUEQE,mid,high,85.2,2151.6,27,Month-to-month,Credit card (automatic),0
1091-SOZGA,loyal,high,99.8,5515.45,56,One year,Credit card (automatic),0
2928-HLDBA,new,low,20.7,112.75,6,Month-to-month,Mailed check,0
0404-SWRVG,new,high,74.4,229.55,3,Month-to-month,Electronic check,1
6497-TILVL,new,medium,50.7,350.35,7,Month-to-month,Mailed check,0
7219-TLZHO,new,low,20.85,62.9,4,Month-to-month,Mailed check,0
4622-YNKIJ,mid,high,88.95,3027.65,33,Two year,Electronic check,0
4412-YLTKF,mid,high,78.05,2135.5,27,Month-to-month,Electronic check,1
6734-PSBAW,loyal,low,23.55,1723.95,72,Two year,Bank transfer (automatic),0
3930-ZGWVE,new,low,19.75,19.75,1,Month-to-month,Mailed check,0
2639-UGMAZ,loyal,medium,56.45,3985.35,71,One year,Electronic check,0
2876-GZYZC,mid,high,85.95,1215.65,13,Month-to-month,Electronic check,0
6207-WIOLX,mid,medium,58.6,1502.65,25,Month-to-month,Credit card (automatic),1
8587-XYZSF,loyal,medium,50.55,3260.1,67,Two year,Bank transfer (automatic),0
3091-FYHKI,new,medium,35.45,35.45,1,Month-to-month,Electronic check,1
2372-HWUHI,new,medium,44.35,81.25,2,Month-to-month,Electronic check,1
7799-LGRDP,loyal,low,25.7,1188.2,43,Two year,Credit card (automatic),0
7850-VWJUU,mid,high,75.0,1778.5,23,Month-to-month,Bank transfer (automatic),0
3774-VBNXY,loyal,low,20.2,1277.75,64,Two year,Mailed check,0
6217-KDYWC,loyal,low,19.6,1170.55,57,Two year,Mailed check,0
0390-DCFDQ,new,high,70.45,70.45,1,Month-to-month,Mailed check,1
3146-MSEGF,loyal,high,88.05,6425.65,72,Two year,Credit card (automatic),0
4080-OGPJL,new,high,71.15,563.65,8,Month-to-month,Electronic check,1
